id	TCGA-2J-AABE-01	TCGA-F2-A44H-01	TCGA-HZ-8001-01	TCGA-HZ-A8P1-01	TCGA-S4-A8RM-01	TCGA-HZ-8519-01	TCGA-US-A77G-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IR-01	TCGA-3A-A9IB-01	TCGA-3A-A9IO-01	TCGA-YB-A89D-01	TCGA-IB-A7M4-01	TCGA-IB-7885-01	TCGA-HZ-8637-01	TCGA-HZ-A77Q-01	TCGA-HZ-7920-01	TCGA-2J-AAB4-01	TCGA-YY-A8LH-01	TCGA-3A-A9IL-01	TCGA-HZ-7922-01	TCGA-2J-AABT-01	TCGA-IB-A5ST-01	TCGA-FB-A78T-01	TCGA-FB-AAQ0-01	TCGA-Z5-AAPL-01	TCGA-HZ-8638-01	TCGA-3A-A9IS-01	TCGA-FB-AAQ3-01	TCGA-S4-A8RP-01	TCGA-IB-AAUU-01	TCGA-2J-AABP-01	TCGA-3A-A9IX-01	TCGA-F2-6880-01	TCGA-Q3-A5QY-01	TCGA-US-A776-01	TCGA-RL-AAAS-01	TCGA-IB-AAUV-01	TCGA-LB-A8F3-01	TCGA-FB-AAPY-01	TCGA-XD-AAUG-01	TCGA-2J-AAB1-01	TCGA-HZ-A77P-01	TCGA-FB-A7DR-01	TCGA-FB-AAPQ-01	TCGA-3A-A9I5-01	TCGA-FB-AAPS-01	TCGA-HZ-7923-01	TCGA-HZ-A49H-01	TCGA-3A-A9IV-01	TCGA-XD-AAUL-01	TCGA-3A-A9IH-01	TCGA-2J-AABO-01	TCGA-FB-A4P5-01	TCGA-FB-A5VM-01	TCGA-IB-7897-01	TCGA-IB-AAUM-01	TCGA-US-A779-01	TCGA-3A-A9IU-01	TCGA-IB-7888-01	TCGA-2J-AABU-01	TCGA-IB-A5SS-01	TCGA-HZ-8002-01	TCGA-OE-A75W-01	TCGA-2J-AAB6-01	TCGA-IB-7889-01	TCGA-HZ-7918-01	TCGA-3A-A9I9-01	TCGA-FB-AAPP-01	TCGA-H8-A6C1-01	TCGA-F2-6879-01	TCGA-3A-A9IC-01	TCGA-IB-A7LX-01	TCGA-2J-AAB9-01	TCGA-2L-AAQE-01	TCGA-US-A774-01	TCGA-HZ-A9TJ-01	TCGA-HV-A7OP-01	TCGA-2J-AABI-01	TCGA-H6-8124-01	TCGA-RB-AA9M-01	TCGA-HZ-A9TJ-06	TCGA-F2-7276-01	TCGA-IB-7890-01	TCGA-FB-AAPZ-01	TCGA-IB-7645-01	TCGA-IB-7893-01	TCGA-US-A77J-01	TCGA-HZ-7924-01	TCGA-2J-AABR-01	TCGA-IB-A5SQ-01	TCGA-3A-A9J0-01	TCGA-HZ-8003-01	TCGA-2J-AABH-01	TCGA-HV-A5A6-01	TCGA-IB-7654-01
ZYX	16499.41536	16514.49605	17459.40405	9028.660115	12446.40586	6078.096768	10738.01378	3114.906521	1506.866102	14128.00056	1284.434014	19950.40854	13651.82176	17455.32628	7589.042675	17496.26993	6297.788878	12083.72823	11396.3435	5494.088447	9770.734251	27355.42809	11460.51819	11689.22805	16993.35865	9811.173899	6184.138674	1966.230483	8526.60558	9718.737033	19257.89118	30307.1216	11075.71495	3735.893064	14207.67378	7826.091932	11456.05866	20642.72295	15804.40626	10448.801	15362.6056	17716.6209	19548.18758	22306.53097	8093.887832	11077.28455	16724.77417	7791.144327	9472.208947	3918.505739	25996.42352	13322.52964	14805.62859	14942.06961	22706.52222	5987.096582	6559.411273	14448.20895	16731.33752	9828.227303	16010.61527	19823.45562	6611.184169	18027.81105	27971.24007	11475.97426	6281.844636	14841.55322	9592.178107	7137.939969	8822.711517	21485.49395	8433.490191	17336.3668	13970.32636	15693.62476	8901.636026	10559.26235	12074.52256	7524.113892	7959.236804	27827.29818	17680.66193	13500.23995	10336.44146	12201.71333	15083.07858	13966.84383	10369.15529	11910.21421	14826.00933	19894.86185	9462.053498	14841.72467	8462.319047	13314.08531
ZNF750	10.36310139	17.76788026	52.07431305	8.958716906	4.708258104	12.35854389	0.922805894	3.296803934	3.436450877	8.382768971	16.54679457	15.91767215	68.7035808	7.242539377	8.624304308	13.88827386	12.34755411	12.73723057	10.89957761	28.23747105	10.21854915	17.11594358	12.87214102	6.383955028	4.9664521	9.567726529	5.306170933	12.6621203	1.768256767	10.29979579	13.97596806	15.87007222	39.79969066	7.552476585	18.51682956	7.880325862	16.73493614	34.66410202	12.30717815	20.4598103	12.79642551	7.448629335	23.15846807	11.36882621	6.287652884	1.24347472	25.66624301	24.25477891	25.41244635	3.667292032	14.9434794	4.765363185	12.97046048	8.348818797	705.1899192	7.510665583	7.536712308	4.174304347	1523.961157	11.35000113	2.905347334	8.108753795	18.66041914	3.138876835	49.59832897	7.58665123	15.60006073	3.253543842	5.137013558	19.75613641	4.590889466	12.44186178	294.9081169	9.24790672	12.90269943	5.84501303	8.625280972	9.091214836	873.243148	7.006694405	10.55351067	5.300968712	12.55880564	11.58214244	51.68469123	18.57344945	22.8071943	21.62946543	6.404635463	86.8355318	26.49452027	69.28478134	8.663728077	15.19388596	610.5339263	8.530311555
ZNF22	761.4551555	1149.138237	1153.773204	1176.767788	711.687473	1108.182002	624.8451918	977.822744	1643.180501	1050.030915	2382.658885	860.5040724	723.7315036	1085.426503	1254.031679	903.210077	1283.445889	821.0314597	908.2687742	682.5143209	1144.679111	861.3571421	997.2211448	918.6350815	721.7886541	1299.874647	711.1126728	1497.584222	1927.737041	951.8886691	884.909447	1124.136659	1192.912112	1457.50064	1301.884225	1491.297902	1483.117949	1234.442042	1296.646615	1066.164298	1062.114022	859.4265294	808.8020847	851.6202843	618.2196971	1250.597905	1172.817352	957.0258714	1476.409577	939.0213474	698.357999	799.1772319	1150.745979	1140.374069	924.112935	1062.112422	1334.868641	851.2479043	674.1768415	1160.642439	1342.500939	880.3388705	1486.271428	821.0637833	849.0295083	1774.961012	1391.260357	1051.60051	767.7170766	918.9194061	788.7208249	795.2312599	825.2858352	1383.518589	844.8497954	815.1840507	824.6748146	1142.754317	1064.707676	1357.159201	1147.209363	821.8573026	1446.051423	1015.382393	872.7357763	1035.654452	1178.023108	926.2259579	912.0078254	1062.312208	1148.465739	760.5960854	1249.908577	598.9049515	1455.312205	1183.879501
ZNF185	2392.021123	621.8055285	3224.193715	805.3107273	461.6275978	739.9457929	2132.686221	438.9671047	142.3716896	2316.921362	1006.23987	2387.274636	1137.579816	4612.3891	1411.513843	2626.17723	1202.024128	3058.080763	1927.624646	162.6140817	3946.930357	1206.38166	1538.845736	1027.604307	1924.955136	1304.130035	1659.245793	81.83409842	2265.583626	1214.481777	2079.461462	613.1125317	1868.863782	725.8266072	858.4937925	504.6487677	771.9114666	577.8125216	623.2450049	1356.749664	754.9075213	2402.082172	1441.467646	348.0258228	572.8848352	618.9246503	826.9320183	1019.747378	593.5606877	284.4168501	2637.970764	6010.039666	4339.386614	1100.972211	2293.90531	847.7516737	814.9191682	2060.033466	7679.436203	1239.729882	3933.706697	4910.824024	1094.665994	1572.403186	41264.93965	5485.478733	1091.007471	1647.777262	404.3561145	1535.483239	2230.446845	831.4799359	8326.464945	2253.481037	2511.718433	1702.188062	894.1567525	1314.73903	1899.35925	2752.094106	4056.171146	3838.423841	1551.67964	2400.310877	2726.921515	1391.562573	2979.315017	803.6818305	1868.597306	1524.465567	1668.704272	3268.152597	1592.266711	1643.461559	1574.265437	2167.10988
ZBED2	123.452488	25.06382138	246.0959858	10.26751564	15.88159205	13.53625101	13.20908841	0.031603328	2.020245136	155.2319503	1.0475031	103.9855228	297.6637118	155.6643611	225.0766015	271.7608166	36.46677156	52.69615661	72.78368766	1.856064159	376.1269405	56.74269266	82.49939088	22.51290929	136.5110775	203.6954413	18.46049326	2.912376751	567.0158699	100.3412387	114.5502682	88.41368733	529.4411736	2.915227591	357.6789079	1.965496821	34.53610484	19.34483658	3.399628904	152.4489873	38.36962026	167.6155911	36.84004691	36.96359823	8.332610766	20.0062153	41.80650155	70.47848571	35.00282473	0.071068667	138.1143999	812.2839204	1764.922453	229.2945656	2241.916954	77.84209915	19.91750631	76.93172459	642.8220874	35.05921645	647.3074589	594.1734134	184.432577	152.9899111	1982.896253	835.2529625	135.6721085	212.7099874	0.229892842	48.41068957	156.6730453	18.65351237	884.3494735	490.226651	638.3565666	133.4061601	59.78829444	0.421717667	1179.070837	385.8083422	1234.239274	170.2138752	33.01701383	574.4220839	287.0891758	90.61228678	465.1778669	87.46322729	16.31871755	134.5682676	237.5395769	286.0996958	114.7511517	68.0937824	64.99851793	11.42576468
YWHAZ	38075.1872	32891.45845	26310.36591	61079.79617	38122.90796	21993.82104	44544.98441	20821.93481	16539.14142	60478.63815	13386.09145	45198.5469	69062.66369	54438.45424	29299.99143	37850.7702	28357.07727	55945.8672	44541.5434	6596.855731	100524.6396	25555.51694	28396.41672	43163.87323	32666.51311	38192.00576	33702.26017	18291.504	49184.29193	35736.07795	45733.36688	25499.16035	27576.54643	10863.84393	30735.53938	53495.41541	29441.84334	21960.82012	26718.2191	26449.41715	23340.4654	39217.86895	23719.32954	30011.01514	58279.34057	44812.99828	23931.03509	20801.64298	28038.21717	10100.76531	48148.86655	71578.67397	45892.99711	22564.6486	35559.52006	23840.14184	16037.43222	37259.1498	47120.99215	28345.42959	42748.66678	61158.56964	31297.92389	40823.792	54428.20892	60287.73902	43027.50233	29387.73419	56240.7857	31894.47474	84420.1842	37846.59703	46477.2746	34387.82869	52429.4298	27167.47573	51310.69312	28885.90354	29692.66368	43119.67941	41574.57235	41349.9264	41802.58008	72393.7063	34793.97112	40449.53756	69328.82308	24586.44548	43574.20714	33035.11794	40555.57324	16625.68277	23048.0341	33804.28734	85422.01767	48460.33804
YWHAQ	6438.325578	9141.509579	9720.445572	8442.778969	5934.37733	10083.49605	6475.50806	16466.25931	13460.4959	10821.83292	13788.35116	9661.684969	7930.092774	14113.1457	7841.163846	10889.52375	13396.33543	6778.669804	7216.216868	4739.167344	11230.92522	9678.282154	7180.10687	6449.219066	5383.734395	7445.925016	8032.946051	10960.4897	11911.95677	6967.138289	8803.876087	10801.59435	9057.309845	10097.7339	6652.653747	5536.416504	9750.144292	9032.575511	8513.694159	5392.208858	9955.301449	7760.189677	9363.838938	9423.904877	6966.634243	9149.209909	8571.599791	6952.880096	7984.125086	10113.81522	9104.643532	11206.91329	10883.58963	7952.626506	9929.629703	9864.251898	7263.974698	5891.131742	8021.357193	8862.892692	15597.94756	13159.18067	9821.170433	4065.745809	11607.31156	10661.26659	11220.41096	5483.570021	8405.89571	6086.615433	10035.39506	8934.869526	7807.373548	11836.50629	10331.80692	8737.614593	9404.651333	5864.11059	7832.071484	10639.27605	10362.54696	8674.315139	11854.34654	10260.73201	10012.61211	8143.78404	17494.00512	8389.205771	9168.688703	10171.88737	12924.66319	10793.14787	8829.389383	8543.860488	10934.81062	10788.3606
YWHAH	10430.33194	8903.316133	9618.694372	9954.290881	12774.76842	8274.629787	14636.58817	7420.506776	11179.60921	10088.88878	7409.714561	10683.44982	5744.767123	18812.44073	8999.136468	10116.1403	9763.847606	14948.59811	7240.786549	4872.664911	10396.13531	11125.59542	6862.873049	8629.67305	7587.891112	5689.772191	7636.37172	11456.4342	12629.18838	6128.71134	10211.73508	12385.79177	7979.083806	4104.402028	7385.450389	15375.22933	8780.574578	8819.208094	8601.929448	11779.96253	9187.775134	16147.38481	8665.00883	10008.09733	11972.5038	8004.11759	8967.857246	7575.445064	10608.39244	9047.02894	8853.951545	12609.00923	9213.90344	7216.044348	11776.77329	7411.230184	5586.090947	11641.9209	5460.964255	10752.86921	11909.564	17754.82511	7599.480778	12900.64347	11097.95071	15855.89022	11136.88316	7513.707743	6306.155253	9449.079904	7438.444191	12701.81264	5533.290548	9598.82285	6496.716044	7489.850151	8740.820135	9189.15197	4564.032661	8725.060008	7280.090231	9617.436193	11966.50083	12780.69968	7293.233621	8870.115341	16859.75031	7836.43982	8487.217091	9046.043782	10862.32928	12309.71278	6662.300809	9746.234373	8519.548391	14430.25129
YWHAG	6772.706056	8306.496692	7207.821612	8054.75942	11858.523	9575.206391	7656.232108	5720.211391	6253.086735	12693.39083	10690.03773	11873.9081	11116.1134	12921.25236	7361.852223	11942.55365	11151.65829	8493.147675	8386.622132	7269.063903	10557.141	9254.233296	9003.530587	7643.186287	8707.020997	7624.193011	6824.056316	12334.32944	6354.881595	6742.057847	12170.51572	7117.619085	8951.891979	5578.530036	7560.855146	4375.314616	6363.439976	10108.33501	6517.915459	5173.246872	11350.13212	7430.218888	8780.464539	14680.71828	14587.80687	8499.889757	8090.706014	7486.923827	6405.962463	13413.35273	9995.678905	12461.11036	9279.001326	7135.576027	8273.644529	11334.38431	5228.228358	6602.05656	9966.785859	9583.212271	11094.69991	16807.42865	10051.68219	6792.183234	12841.29958	8359.912775	10521.73208	5742.441059	8719.095898	7011.465683	11154.05469	14814.11945	11938.41455	9644.630816	9852.296096	8846.587017	16084.38807	6513.716996	8845.219377	12514.02758	11816.61915	16716.69431	13612.12948	14514.41073	7322.677995	14968.07649	20043.80743	6491.415724	8657.292546	8922.588558	10459.8739	11428.84158	9022.275193	8573.445069	5938.057344	9808.616465
YWHAE	11878.56245	15737.68751	20079.07199	19472.33538	8564.076641	15375.72167	10707.75493	36975.24581	31721.29767	14638.23269	29579.86355	16456.48757	17805.72927	18555.38608	16002.64192	14547.57281	22840.38557	16133.75995	12858.87462	19769.03015	16737.48504	10346.07498	14514.99109	12552.97837	15330.54826	10927.4831	16990.88574	26384.49044	20925.8634	13985.87261	10553.60612	39024.80549	13949.86234	17270.71556	10687.90391	25444.67387	18352.90554	13099.67101	27573.65039	14117.95389	15830.59997	19894.87422	12086.66777	14153.39487	15658.28488	20337.79638	12596.72851	12398.46866	16651.86418	25640.49261	13010.88816	15719.37967	14640.66513	12799.20254	17218.96117	14896.10476	13793.56802	15594.63321	15749.17591	15352.55235	15977.90773	18492.92711	17179.74527	14019.3325	27972.71549	21098.87738	21090.47553	12847.94637	23024.95099	9712.896231	16178.82471	16004.89594	21012.36187	17652.5747	14454.7994	13317.19387	15358.53463	32368.84607	17079.3344	24936.54941	16777.75815	16742.49121	20802.56775	18846.44693	20294.45153	14559.50432	24125.26528	15370.92037	21957.80028	15331.80982	19795.8247	19103.6923	13281.21383	14711.69608	15849.05172	14822.58174
