gene	GSM590166	GSM590167	GSM590168	GSM590169	GSM590170	GSM590171
RAB25	4.46666	4.09133	4.27439	4.09821	4.40482	4.09714
THBS1	4.87102	4.90999	4.73374	5.20131	5.32054	5.13796
PLIN2	8.22139	8.20301	8.15512	8.00906	7.99239	7.93069
UGT1A10	0	0	0	0	0	0
RAB31	10.8175	10.8782	11.0173	12.0567	11.9002	11.9746
DYNLT3	10.6013	10.7281	10.566	10.9652	10.8866	10.9224
AKR1C1	3.96986	3.903	3.88193	3.9697	4.04295	4.04104
KCNK1	3.6642	3.67475	3.78928	3.61215	3.64065	3.69709
EPB41L2	9.02143	8.94343	8.94121	9.2182	9.20183	9.10799
EFNB2	6.9591	6.81667	6.92194	7.31292	7.14893	7.22588
SOX9	10.2323	9.82476	10.0836	10.5408	10.2193	10.2352
SQOR	0	0	0	0	0	0
CD55	9.40603	9.42749	9.48076	9.34265	9.40319	9.31935
ST14	5.55872	5.43441	5.52295	5.52472	5.6448	5.62924
FABP5	10.8827	10.9982	11.0308	12.4994	12.4528	12.5123
GALNT14	7.25286	7.15047	7.18574	7.73441	7.66607	7.81155
RNF128	4.0178	4.20641	4.07181	4.3974	4.17758	4.31201
FGF2	8.46627	8.53929	8.31335	8.96182	9.00183	9.05119
NMU	4.95897	4.83841	4.80919	4.54235	4.74257	4.85708
COL18A1	10.4786	10.3152	10.8522	10.6677	10.3163	10.4294
DKK3	8.29954	8.2921	8.63862	8.80717	8.42592	8.48771
VCAN	3.45548	3.53055	3.56872	3.34725	3.30069	3.70374
CDA	4.98588	4.93986	4.8774	5.00877	5.2646	5.18359
UGCG	9.30537	9.17806	9.15017	9.42824	9.37986	9.21695
AQP3	5.42088	5.35999	5.34086	5.22152	5.73451	5.47606
PLAGL1	8.32125	8.27903	8.50164	8.4478	7.8537	8.05212
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
NR2F2	5.53941	5.36571	5.62301	5.25583	5.15746	5.08542
GALNT3	3.53155	3.67019	3.40977	3.47542	3.61147	3.53155
ZNF22	9.2688	9.23674	9.19345	9.09224	9.013	9.06757
AHNAK2	5.68048	5.64335	5.85158	5.98527	6.06206	5.83325
CCN1	0	0	0	0	0	0
SERPINE1	4.84679	5.60667	5.10271	6.32528	6.70427	6.91392
KLF5	3.68087	3.96002	3.55727	3.65988	3.48258	3.5506
KRT19	5.35193	5.6672	5.31909	4.23146	4.12809	4.1969
ADIRF	4.36156	4.44313	4.48048	4.57428	4.39685	4.60923
TNFRSF21	6.00452	6.08148	6.25612	6.29534	6.20493	6.35042
SNAI2	4.1137	4.54546	4.20596	5.52607	5.21282	5.91209
ADAMTS1	5.42804	5.38849	5.23418	5.85568	5.76597	6.04975
NNMT	4.22219	4.21919	4.25872	4.27409	4.08598	4.133
MEST	8.80494	8.82347	8.83282	9.128	9.19906	9.25574
TSPAN13	12.0581	12.1423	12.0971	11.8509	11.6107	11.7473
CTSH	8.25363	8.28577	8.33667	7.88767	7.71239	7.86668
SLC27A2	4.59965	4.28323	4.41057	3.96349	4.16901	4.10752
RHOBTB3	9.2695	9.00605	9.01938	9.50718	9.35475	9.3055
ITGB4	5.4749	5.00296	5.83604	5.05724	5.02496	5.14923
RGS20	6.94829	6.82109	6.85179	7.69673	7.60396	7.68634
GSTM3	11.8074	11.821	11.7834	11.126	11.2067	11.2976
CXCL1	5.71921	4.95414	4.8691	5.0743	5.24072	5.20204
TM4SF1	13.3369	13.3349	13.3427	13.1549	13.1255	13.1127
MT1X	10.8736	10.9279	10.9387	10.9008	10.8848	10.9294
PODXL	9.69862	9.68229	9.94061	10.0856	9.74466	9.91991
DTX4	5.07951	5.12915	5.33657	5.22715	5.40208	5.2085
EHF	3.7218	3.68574	3.70418	3.73039	3.76885	3.79004
GJB3	6.07813	6.22763	6.18282	6.31868	6.26116	6.17067
SRGN	3.52601	3.73379	3.67256	3.58631	3.64558	3.72661
PLAC8	10.7639	10.9244	10.87	10.426	10.3935	10.4402
CXADR	7.52965	7.48068	7.19559	7.34358	7.36727	7.1998
SLPI	6.11176	5.82361	5.75425	5.64546	6.04785	5.92445
AXL	6.26297	6.34306	6.35245	6.53018	6.51074	6.44019
TMEM30B	4.16902	4.13138	3.99845	3.5806	3.93737	3.92795
