id,TCGA-2J-AABE-01,TCGA-S4-A8RM-01,TCGA-US-A77G-01,TCGA-3A-A9IJ-01,TCGA-3A-A9IB-01,TCGA-3A-A9IO-01,TCGA-YB-A89D-01,TCGA-IB-7885-01,TCGA-HZ-A77Q-01,TCGA-HZ-7920-01,TCGA-2J-AAB4-01,TCGA-YY-A8LH-01,TCGA-3A-A9IL-01,TCGA-HZ-7922-01,TCGA-2J-AABT-01,TCGA-IB-A5ST-01,TCGA-FB-A78T-01,TCGA-HZ-8638-01,TCGA-IB-AAUU-01,TCGA-2J-AABP-01,TCGA-Q3-A5QY-01,TCGA-US-A776-01,TCGA-RL-AAAS-01,TCGA-IB-AAUV-01,TCGA-LB-A8F3-01,TCGA-XD-AAUG-01,TCGA-2J-AAB1-01,TCGA-HZ-A77P-01,TCGA-FB-A7DR-01,TCGA-3A-A9I5-01,TCGA-FB-AAPS-01,TCGA-HZ-7923-01,TCGA-HZ-A49H-01,TCGA-3A-A9IV-01,TCGA-XD-AAUL-01,TCGA-3A-A9IH-01,TCGA-2J-AABO-01,TCGA-FB-A4P5-01,TCGA-FB-A5VM-01,TCGA-IB-7897-01,TCGA-IB-AAUM-01,TCGA-3A-A9IU-01,TCGA-IB-7888-01,TCGA-2J-AABU-01,TCGA-IB-A5SS-01,TCGA-HZ-8002-01,TCGA-OE-A75W-01,TCGA-3A-A9I9-01,TCGA-FB-AAPP-01,TCGA-H8-A6C1-01,TCGA-F2-6879-01,TCGA-3A-A9IC-01,TCGA-IB-A7LX-01,TCGA-2J-AAB9-01,TCGA-US-A774-01,TCGA-HZ-A9TJ-01,TCGA-HV-A7OP-01,TCGA-RB-AA9M-01,TCGA-HZ-A9TJ-06,TCGA-IB-7890-01,TCGA-FB-AAPZ-01,TCGA-IB-7645-01,TCGA-IB-7893-01,TCGA-US-A77J-01,TCGA-HZ-7924-01,TCGA-2J-AABR-01,TCGA-IB-A5SQ-01,TCGA-3A-A9J0-01,TCGA-HZ-8003-01,TCGA-2J-AABH-01,TCGA-IB-7654-01
ZBED2,123.452488,15.88159205,13.20908841,0.031603328,155.2319503,1.0475031,103.9855228,155.6643611,271.7608166,36.46677156,52.69615661,72.78368766,1.856064159,376.1269405,56.74269266,82.49939088,22.51290929,18.46049326,114.5502682,88.41368733,357.6789079,1.965496821,34.53610484,19.34483658,3.399628904,38.36962026,167.6155911,36.84004691,36.96359823,20.0062153,41.80650155,70.47848571,35.00282473,0.071068667,138.1143999,812.2839204,1764.922453,229.2945656,2241.916954,77.84209915,19.91750631,642.8220874,35.05921645,647.3074589,594.1734134,184.432577,152.9899111,212.7099874,0.229892842,48.41068957,156.6730453,18.65351237,884.3494735,490.226651,133.4061601,59.78829444,0.421717667,1234.239274,170.2138752,574.4220839,287.0891758,90.61228678,465.1778669,87.46322729,16.31871755,134.5682676,237.5395769,286.0996958,114.7511517,68.0937824,11.42576468
TGM2,11034.90191,14199.77313,5211.588236,1006.095064,70694.2637,2566.78388,32105.50345,17844.92098,56287.71402,56929.0107,29913.29469,18517.01505,3204.870821,40987.12492,20022.96619,20537.99602,14651.06572,15054.7764,24799.19538,22774.93411,10670.36208,3087.062996,38920.01175,25617.81867,11248.86802,21313.1394,21081.08298,26185.24437,33465.93682,36951.84941,11195.76034,35496.36603,26000.0412,5766.614919,26141.46982,64268.47102,20353.19267,27722.18228,57406.36307,25444.55494,16353.19837,63319.09412,51969.16858,64682.94993,76409.97484,26508.49345,19110.08584,16013.48365,1494.811015,18747.96819,8970.007207,17889.41731,77969.53036,29023.07525,38574.67343,25888.6802,18264.85971,25560.19818,41660.14225,51284.03998,56007.9758,30917.46895,20506.15427,35555.58027,23988.19127,33983.71801,40261.0953,7696.482261,16747.38381,38013.921,12201.52762
TGFBI,13833.3521,3017.849474,1436.878486,936.5636438,40447.83157,989.7001598,8686.618199,16214.27927,21792.79411,19058.4852,11306.90178,23040.32029,2829.759582,19443.81093,14723.48513,16359.0827,6082.697269,8749.64294,9295.296131,47870.29362,6860.212006,37167.08353,17760.89473,10987.15275,8600.824875,5399.790836,4046.694384,14561.0487,27971.14264,4993.101111,31328.21959,8260.745282,6160.075631,8777.065154,19010.65725,13940.70817,20608.50071,11349.21298,10203.18048,14544.39287,3861.158098,10956.97942,8252.122065,34559.79777,66913.68767,25597.71154,10329.27537,10266.76693,88185.6053,6230.874695,9549.305812,36607.1364,18314.01287,26804.15678,13916.9942,3235.267146,1505.587008,9203.815784,7339.841777,38450.25523,15445.7173,11378.74597,49432.29339,14738.70067,7176.494029,11713.43481,14975.2083,14648.19581,7905.451945,5803.764446,3759.272915
SNAI2,877.1748721,567.0909368,282.6287812,45.66892888,1215.366353,203.744415,1553.319469,1195.548136,1042.99424,1462.96794,696.8018728,214.7424319,221.8419781,2583.529108,342.5496073,1168.323257,276.8033538,257.3763008,459.0313488,4504.046534,578.8221942,138.970473,1381.662763,3365.432502,252.4610988,3875.381775,959.1545066,508.6239901,905.680881,812.2835555,2008.096203,1388.102142,1215.684812,528.1036134,1546.359696,697.321163,2269.610064,1946.514579,3021.522461,1565.991296,486.7648752,490.1233023,1738.709171,4756.149452,2286.955641,1916.614021,1227.949664,632.7073856,53.81605453,659.0493033,921.1668367,1344.016309,1736.361999,1514.599115,1069.453672,389.8817382,15.45905021,677.4495925,300.3540656,7675.77144,2054.267873,1522.124546,4107.186402,749.190071,255.7420014,1686.97336,2190.922902,672.0748816,1360.809546,831.1258806,1489.004284
S100A2,322.9473259,247.5383971,436.7187334,72.83103527,553.2132646,4.149642944,1472.699984,4246.894636,259.6084485,238.2501469,599.7880791,1033.861814,21.59857775,289.3949707,79.15939696,138.3444486,609.4113342,88.22137602,314.7401254,3747.268507,182.212481,273.019465,404.7951876,340.4948635,1189.451847,373.7058932,360.7695093,412.406516,429.5862779,189.957621,349.740626,459.8630662,563.8836708,26.36231308,492.5189798,636.7039519,758.9682084,492.5960803,51067.22953,405.8946292,149.9338499,6407.211362,219.0863858,24002.76615,700.9810425,656.601701,3519.415435,606.9298787,219.3344277,805.2857382,407.4360869,477.3567211,30875.29797,4025.120524,1339.759,1916.107702,515.0716662,283.0421005,3518.361808,7289.46526,7880.277249,186.3902129,17439.21957,868.3799279,74.68162653,13648.33694,8092.268721,1045.551213,62.67419229,552.2696027,78.52556553
LOXL2,6647.746415,1567.999261,466.9680723,1641.669238,5241.836329,383.6867088,6443.571124,14541.54715,6921.552234,1925.309396,2959.214254,1011.996563,1279.488385,12076.05707,3791.531659,3196.302621,1410.213841,2063.285842,2912.737758,7902.792011,2538.468922,698.8221714,1835.622267,3042.998933,2567.652558,4794.021534,2370.301503,4096.628191,9962.642811,3232.608811,16906.93393,1313.853912,1421.332398,2385.757737,9127.647109,3213.790945,7583.722195,4221.918604,3683.760696,1452.677345,1417.975976,7268.168945,2409.403231,15062.3549,26011.53892,2298.1169,6359.273532,3747.740171,574.7382196,2408.952226,5498.568435,19792.49194,3740.654066,3517.410103,5694.688954,842.99983,613.705254,1899.935921,1412.836738,30141.60737,3228.811564,3184.071378,27456.67742,4406.316829,1878.457365,2168.698398,9557.795081,9895.186395,3332.10664,2188.599426,4506.737526
LAMC2,34450.80741,22180.84502,24555.94114,65.22029572,54731.75619,354.7284274,38442.97923,90382.29861,34292.18294,15996.52853,43118.54559,50211.59717,992.7497141,31967.37899,14009.81629,38792.77326,25252.19228,9369.656314,35182.38333,89.57355877,9150.198962,10747.57102,11508.36494,2900.701722,56554.44093,4647.551821,30326.64365,6367.652294,17802.70714,15974.21545,5642.107428,5637.606387,8330.723461,1775.323871,41938.13708,50512.69934,100842.1648,11245.59896,54267.59027,17934.07998,12507.02334,71178.87309,19777.24753,114640.8655,60371.49032,16225.51731,12096.26445,14608.49544,10562.70266,41212.14122,14142.16746,17379.97881,101417.6439,46052.14448,48439.26671,45923.25705,11213.45101,20150.60654,51758.06528,112270.3432,32105.4458,63384.30322,110090.8407,7699.133898,7335.000384,16873.36004,24575.20332,35086.84423,17584.51212,97245.52787,21840.65723
JAG1,6092.30304,11244.32591,8756.623705,1979.559481,9094.566263,1718.778094,11270.1563,8964.03638,8465.941189,5839.665412,6111.633091,9206.670728,2334.314278,8485.55858,4313.096605,6974.678333,4482.717307,4629.345462,5335.830344,5011.007262,2715.818643,2756.869831,5036.152902,4198.823824,4527.70169,4726.531524,12553.74186,3387.745464,4598.612212,3704.975929,6081.205959,6428.475124,5733.985248,2156.409614,4727.778848,5349.650263,8061.550558,4573.866841,8218.717252,6558.208273,4694.506831,4345.960669,9311.093129,6341.440876,10789.82508,7095.280825,6466.463063,5603.869164,5609.978787,6126.139954,10406.54312,4129.372464,20662.35786,7014.551573,5400.682178,6598.264939,761.638421,8418.339955,14525.62352,14315.20088,6560.367075,9973.623596,12782.8142,3518.721979,3677.88523,7867.607417,8864.78366,7674.863901,5139.458564,5999.249019,18141.5114
HMGA2,123.5983369,365.0237673,50.07688689,2.206209233,5329.591622,4.150089836,281.1898713,53.44971708,103.4123283,57.56548047,73.952724,890.1537991,1.857286059,353.6277565,59.41288226,47.21725427,73.36964241,188.7491861,587.649184,617.5581383,46.76227914,49.27598742,58.59373182,14.86437608,4330.086555,89.38146878,281.1844503,62.99861632,185.8582518,28.20725913,307.9847305,19.42029103,79.51990865,9.637633105,279.6732725,189.0081465,1160.069395,154.3135948,2621.17036,205.0978883,102.8925687,189.3767357,135.544964,535.0792972,3402.162504,2473.627128,491.1882599,169.7510928,331.2949756,406.0996179,1132.265255,311.6842497,5651.879409,1028.291587,89.47434227,434.922402,229.9275082,406.6130145,514.313511,912.8982129,668.1701337,116.8850397,1539.993371,47.7330247,144.5523349,156.5773943,531.0377767,61.3609655,221.8034547,32.23322392,37.39178686
HLF,88.87727783,198.8155074,133.2658508,3355.704244,107.8821017,3043.389931,473.2305114,208.3110566,133.6443556,1063.197552,569.198928,76.406488,1730.866218,159.10636,784.8596409,302.557243,151.6759541,288.71621,192.3203146,12.52001756,185.1363193,54.20436224,473.8159177,471.5597656,109.5061264,1260.771445,481.7088827,638.7668071,533.9213434,611.8346851,206.2020121,1294.805654,623.2162009,1451.279554,139.7981089,248.8597291,231.874573,511.3658474,128.8698234,1848.427497,477.9024267,139.1097851,783.3876705,71.30357141,28.93923981,424.8936249,83.26900122,459.7141645,35.99223652,110.6605764,90.42477893,96.31256729,103.5626406,307.3332407,420.7359776,282.6178855,73.43130472,387.0626426,355.6779295,538.6871916,138.5178596,354.2688283,130.6526767,406.3266125,318.1346711,352.05394,769.592217,48.87630568,577.7184078,360.4460858,250.2826809
