predictions	labels
10.77809316	1
8.137646041	1
6.504150535	1
6.010994287	1
5.691327713	1
5.56262591	1
5.173957606	1
4.663791117	0
4.649546665	1
4.37845912	1
4.209122303	1
4.015642952	0
3.312083996	0
3.289737163	0
3.162439633	1
3.106545051	1
3.058215576	1
3.010141276	1
2.980550457	1
2.908060883	1
2.62063663	1
2.449983319	1
2.345251506	0
2.293558276	1
2.152387088	0
2.151630588	0
2.090986606	1
2.035719798	1
2.011586918	0
2.009512842	0
1.951084669	1
1.904369358	0
1.843128141	0
1.748397328	1
1.746840956	0
1.745876896	0
1.646725557	1
1.624598164	0
1.567101569	0
1.533642192	0
1.531104952	0
1.497271382	0
1.4203149	1
1.4060736	0
1.383661826	0
1.364704764	1
1.344543668	0
1.284766039	1
1.27935952	1
1.157901249	1
1.156952215	0
1.139870836	1
1.135482723	1
1.120661019	1
1.083880807	0
0.956858705	0
0.944565535	0
0.932155878	1
0.898121952	1
0.892759876	0
0.874662924	0
0.751402618	0
0.741227788	0
0.725148589	1
0.349259648	0
0.197731758	0
0.100271475	1
-0.009616776	0
-0.231470261	0
-0.601134894	0
-0.772964558	0
