id	Bxpc31_count	Bxpc32_count	Bxpc33_count	M81_count	M82_count	M83_count
RAB25	1231	1275	1266	854	792	1020
THBS1	2905	3449	2912	6737	6407	7350
PLIN2	288	314	254	452	425	447
UGT1A10	3644	3510	3306	2414	2769	2944
RAB31	427	368	260	624	1339	344
DYNLT3	351	387	467	494	404	653
AKR1C1	2945	3099	2857	2890	2612	3185
KCNK1	744	790	736	741	705	764
EPB41L2	1357	1511	1561	1998	1795	2063
EFNB2	954	1120	919	1082	985	1151
SOX9	243	346	306	419	448	499
SQOR	3211	3545	3239	3314	3033	3517
CD55	2354	2361	2390	2664	2513	2743
ST14	4530	5534	4532	3690	3456	3920
FABP5	344	516	451	733	717	774
GALNT14	476	707	492	634	686	673
RNF128	10	7	11	0	0	0
FGF2	0	0	0	0	0	0
NMU	230	290	273	128	120	116
COL18A1	49	91	74	102	100	133
DKK3	0	0	0	0	0	0
VCAN	3	3	8	338	344	405
CDA	367	462	384	606	588	620
UGCG	1333	1398	1383	1566	1370	1678
AQP3	41058	45314	38522	28707	26604	30580
PLAGL1	49	45	56	146	294	353
CDH1	11283	12341	11249	10034	9292	10117
NR2F2	2195	2608	2577	3007	2914	3494
GALNT3	1271	1336	1398	754	874	764
ZNF22	839	934	898	972	982	1028
AHNAK2	9200	9163	8525	6143	6380	5748
SERPINE1	1863	2132	1911	2266	2076	2551
KLF5	6884	7303	7385	5866	5249	6272
KRT19	53649	69051	57108	49284	44419	52314
ADIRF	564	827	1001	358	321	483
TNFRSF21	7415	8260	7462	7380	6823	7540
SNAI2	1143	1222	1103	1771	1758	2029
ADAMTS1	804	944	847	1509	1428	1539
NNMT	3	2	2	14	6	23
MEST	2844	2906	2526	1656	1676	1836
TSPAN13	1533	1556	1608	1258	1154	1378
CTSH	5214	6104	4288	2863	2791	3274
SLC27A2	108	113	117	55	63	70
RHOBTB3	2319	2441	2400	3133	2634	3051
ITGB4	10655	13452	10985	17603	16989	18818
RGS20	130	134	99	107	99	119
GSTM3	682	819	730	960	902	936
CXCL1	1294	1746	1505	1676	1744	2011
TM4SF1	2037	2047	1970	1224	1063	1111
MT1X	270	394	287	587	527	557
PODXL	4508	5201	4423	5911	5734	6379
DTX4	1959	2227	2009	1325	1321	1494
EHF	6339	6077	4125	6830	6198	7012
GJB3	2058	2561	2327	2285	2284	2505
SRGN	1187	1259	1245	1744	1693	1944
PLAC8	6	9	14	7	11	12
CXADR	757	753	846	983	831	1067
SLPI	2903	3765	3525	3421	3175	2638
AXL	4191	4671	4006	4032	4156	4308
TMEM30B	2984	3231	3066	4010	3602	4257
CD24	2582	2350	2258	3968	3592	3748
S100P	644	849	769	294	348	414
CST6	0	2	0	2	1	8
MAOA	0	0	0	0	0	0
COL6A2	0	0	0	2	2	3
MAP1B	63	60	54	441	378	487
LIMCH1	359	314	354	564	487	531
SMURF2	837	890	840	889	922	1024
IGFBP3	6	6	6	3	0	3
MT1H	0	0	0	0	0	1
ARL4C	394	429	393	1110	1009	1184
MT1E	1609	2222	1783	2518	2681	2721
DCBLD2	8172	8893	8654	13291	12442	13727
AKR1C3	1673	1880	1536	1973	1735	2080
TIMP3	4786	4880	4467	2779	2460	2805
GRAMD2B	363	448	327	392	311	445
TUBB6	444	483	605	884	1053	865
S100A14	8920	9133	9344	5773	6187	7342
IL1A	3068	3233	3095	4808	4335	5045
SH3YL1	219	236	350	251	250	270
FN1	2660	3081	2407	3582	3392	3997
LGALS3	2446	2778	2581	1904	1866	2027
GJA1	1665	1721	1712	3532	3397	3607
CLU	699	682	782	1274	1479	1518
MAGEA3	3511	4133	3425	4037	3887	4202
S100A6	6868	8519	7469	6332	6278	7297
NEDD9	1552	1702	1569	1732	1583	1724
LAD1	3865	4979	3659	4435	3783	4381
EMP3	897	1033	908	806	861	898
COL4A2	0	1	0	0	0	6
GNG11	19	26	21	84	82	83
SACS	310	76	79	83	91	83
GALNT1	3085	3103	2928	4059	3585	4492
TXNIP	2763	2717	2415	3852	3439	3693
CDH3	9568	11685	10263	8755	8026	9481
HMGA2	6871	7757	7672	10541	10086	11167
OLR1	120	147	145	197	159	188
RBPMS	208	262	226	151	138	145
EPS8	1130	1109	1172	976	949	1134
AGR2	2354	2447	2510	1897	1739	2263
IGF2BP2	1783	2086	1843	1767	1655	1977
LAMA3	8932	9738	8911	12137	11550	12857
JAG1	6551	7763	6959	10320	9490	10776
SFN	19396	25156	21730	23957	24232	26547
SCNN1A	3884	4482	4016	2849	2392	2935
TACSTD2	19792	23865	20702	16402	15481	17431
PPL	21232	26391	22458	19665	18451	21144
CHST15	816	943	891	1296	1373	1385
FOSL1	798	925	796	1569	1597	1885
PTGS2	1074	1033	1135	1204	989	1291
S100A2	14059	21092	16155	15819	16129	17320
F2RL1	751	873	295	933	941	974
COL4A1	3	0	0	1	5	7
GATA3	42	37	53	30	30	46
CLDN4	4884	14	39	2467	2312	2522
PDGFC	143	127	146	183	162	188
FXYD3	12406	14218	12341	6443	5773	6516
TNFAIP2	5564	7519	6014	2068	1541	2261
MAPK13	2681	3410	2757	2200	2161	2355
ARHGDIB	5089	5339	6098	6983	7663	8634
MTUS1	1067	1047	1059	1043	877	987
DAPK1	364	385	368	82	74	88
IGFBP6	7824	10053	8998	6647	7016	8362
BST2	6756	7982	6582	5473	4913	5611
IGFBP7	1	0	0	0	0	3
SPINT1	5277	6325	5467	5656	5389	4960
GLIPR1	711	876	805	1427	1299	1681
H2BFS	30	40	34	29	24	33
ASAH1	515	555	585	570	552	572
ARID5B	606	578	549	511	418	464
RAC2	2954	3743	2784	3520	3617	3996
FBLN1	992	1491	1011	372	422	473
ANXA8	5008	6141	6512	4891	4858	6308
ARHGAP29	952	979	1060	1670	1411	1811
LIMA1	4737	3064	4963	7152	6388	5407
ESRP1	3009	3196	3058	2355	2243	2415
TSPAN4	510	676	546	577	680	729
AKAP2	485	570	424	2159	1108	1212
EPAS1	2685	3106	2818	3500	3280	4612
DSE	1706	1752	1670	1425	1436	1664
MT2A	8922	10204	10124	13921	16294	17904
MT1G	4	6	4	8	11	10
TRIM29	7642	9602	8516	3888	3786	4267
AKAP12	1699	1798	1676	3738	3529	3999
WWTR1	1512	1621	1546	1974	1821	2173
KRT7	33759	41273	32730	35928	32805	34843
WNT5A	0	0	0	0	0	0
KRT18	7178	8412	7557	10257	9521	10782
GLUL	8396	8167	7726	6861	6615	7276
GPR87	1198	1297	1226	1404	1277	1312
VIM	1066	870	1005	3809	2830	3103
VGLL1	31	41	31	13	15	19
BICC1	2	3	4	115	104	121
TGFBI	9487	9391	9528	20358	19602	21478
EPCAM	2383	2595	2688	2864	2574	2990
PTGER4	681	551	463	624	925	1058
CAPG	1136	1980	1579	805	995	799
PIR	532	576	516	344	335	392
LOXL2	429	456	366	1017	974	1039
TPM2	1409	1905	1670	1520	1559	1625
S100A4	124	114	117	85	84	117
KRT17	19701	23052	18089	25544	24537	23724
JUP	12650	13903	13274	11206	10733	11528
TGM2	7510	9267	7185	18835	19147	19935
SIRPA	3	13	8	77	105	117
EFEMP1	1259	1283	1249	1901	1946	1989
PTGES	1992	2223	1960	768	653	850
FKBP11	272	294	384	367	338	401
PKP3	4408	5517	4668	4129	3931	4276
CSTB	2624	3283	2792	2171	2203	2743
TFPI2	603	687	646	927	928	964
FYN	29	32	24	139	165	206
PERP	15484	15959	14968	15572	13850	15391
ERAP2	5258	5263	5709	6996	6851	7594
MSN	29847	33312	28829	37130	35367	39466
KYNU	1938	1712	1844	1956	1773	2159
MT1F	22	32	22	32	29	38
LPAR1	483	699	529	823	565	982
EEF1A2	8	3	8	6	5	4
TUBA4A	4085	3067	2908	4892	4744	3480
CLDN7	1381	2394	2039	1420	831	1519
CRYBG1	4699	5228	4956	4530	4299	4628
KRT33A	0	2	0	0	0	0
CAPN1	14800	18675	15068	12325	11571	13218
DSG2	16173	17227	16903	18998	17051	20025
PRSS8	1777	2113	1839	1297	1232	1332
PKP2	1103	1426	1432	1607	1493	1649
PKP1	5199	6257	5046	4498	4414	4875
TGM1	217	267	263	124	109	122
KRT31	0	0	0	0	0	0
DSP	21235	23029	22516	18415	16516	19285
TGM5	0	0	0	0	0	0
CASP14	0	0	0	0	0	1
KRT23	3	2	0	1	1	2
KRT37	0	0	0	0	0	0
KRT32	0	0	1	0	0	2
KRT18	7178	8412	7557	10257	9521	10782
PERP	15484	15959	14968	15572	13850	15391
PPL	21232	26391	22458	19665	18451	21144
CSTA	1305	1441	1434	1099	1157	1467
PI3	748	893	703	958	1022	1223
CAPNS1	5902	6711	5728	5138	4608	5030
KRT36	1	2	0	0	0	0
KRT17	19701	23052	18089	25544	24537	23724
KLK14	7	4	4	0	2	0
KLK8	7	15	7	2	0	0
KRT34	0	2	0	0	0	0
KRT33B	0	0	0	0	0	0
SPINK5	366	372	432	411	376	490
DSC2	645	614	626	494	477	529
DSG3	2081	2049	2175	1635	1375	1599
DSG1	10	5	6	4	9	11
DSC3	3239	3471	3613	3231	2739	3337
DSC1	0	0	5	2	0	0
KRT85	0	0	0	0	0	0
KRT7	33759	41273	32730	35928	32805	34843
KRT71	0	0	0	0	1	0
PCSK6	1200	1258	1085	846	865	1098
FURIN	3693	4849	3908	3695	3580	4171
CELA2A	0	0	0	0	0	0
FLG	36	37	42	43	33	43
PKP4	2671	3052	2682	2339	2076	2381
ST14	4530	5534	4532	3690	3456	3920
TCHH	22	28	30	43	39	47
LCE2B	0	0	0	0	0	0
SPRR2G	0	0	1	0	0	0
KRT84	0	0	0	0	0	0
KRT82	0	0	0	0	0	0
LCE3D	0	0	0	0	1	0
IVL	29	26	27	45	41	51
SPRR3	28	24	30	11	11	6
SPRR2D	51	37	32	64	75	70
KLK5	0	0	0	0	0	0
KLK13	43	54	38	5	4	10
KRT80	964	1224	1054	830	618	665
KRT1	2	0	0	0	0	0
EVPL	1404	2377	1822	1024	817	880
KRT24	0	0	0	0	0	0
SPRR1B	688	904	787	281	266	342
SPRR1A	163	215	176	48	41	46
KRT8	15614	17376	12793	10494	10935	12361
KRT78	8	6	10	11	18	11
KRT86	2	5	4	4	4	6
KRT75	0	2	0	3	10	2
KRT6C	87	129	94	121	129	119
KRT4	320	324	339	28	37	35
KRT74	0	0	1	0	0	2
KRT72	0	0	0	0	0	0
KRT83	1	1	4	1	2	0
KRT19	53649	69051	57108	49284	44419	52314
KRT15	905	1045	815	904	976	904
KRT38	0	0	0	0	0	0
KRT13	11566	14197	11805	1506	1148	1174
KRT9	2	1	3	0	2	3
KRT20	0	0	0	0	0	0
KRT27	0	0	0	0	0	0
LCE1D	0	0	0	0	0	0
KRT2	0	0	2	0	0	0
LIPM	0	0	0	0	0	0
JUP	12650	13903	13274	11206	10733	11528
KRT28	0	0	0	0	0	0
DSG4	0	0	1	0	0	0
SPINK6	0	0	0	0	0	0
PKP3	4408	5517	4668	4129	3931	4276
KRT76	0	0	0	0	0	0
KRT6B	90	126	109	243	209	248
KRT79	0	0	2	0	2	0
LCE3A	0	0	0	0	0	0
LCE3E	0	0	1	2	2	0
KRT73	0	0	0	0	0	0
KRT5	44890	53957	43305	43418	47138	50946
LCE5A	4	7	3	3	2	0
