gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
RAB25	9.366652493	11.62464492	11.27688883	10.40302015	10.88928119	10.59091112	11.466581	10.62082958	10.97630632	4.895892317	10.91376674	10.21516131	10.64934236	6.603517766	6.272948281	9.010579441	3.928048244	6.308626888	5.568732766	5.995482909	1.712204692	5.098979942
THBS1	2.545928338	2.284722853	2.982219353	7.075777778	3.256420467	4.376649328	6.491798535	7.983430499	4.303586385	5.461614375	3.53323187	2.905355656	4.067590699	5.120445274	5.553482151	2.649163438	3.20631241	6.046833547	3.048822584	2.864462967	3.948632349	2.255943132
PLIN2	13.67346016	5.673617592	9.064210024	9.543421153	11.54441259	11.04376787	9.975696703	10.04200322	10.77649094	10.21753948	13.56710434	11.96528504	9.879323429	9.730908662	11.57098783	11.74477379	12.46303723	10.44794622	9.845812482	10.98591377	11.68827674	12.36861859
UGT1A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB31	12.28342706	10.41040495	9.203009535	10.59278141	10.25359863	7.905210011	12.88004323	9.419182359	10.72694733	10.2786866	12.41611802	11.41077752	10.83485572	10.62205218	11.23809904	12.27421777	10.64949446	12.32530364	12.86873145	11.36544485	10.77029778	11.82761409
DYNLT3	10.32372524	13.41756659	11.17886132	11.47078092	10.71461629	13.16214386	11.80268547	11.49995953	11.20811009	11.63749336	11.69922011	11.52754943	11.35466704	10.27760492	11.23804036	10.74561639	11.73221755	11.49612558	11.39910608	11.81945512	12.36920828	1.743950466
AKR1C1	3.421668946	4.47469133	4.70771356	5.011628457	5.404957856	5.610312782	2.256844088	5.652506421	2.111677682	5.249645844	3.753524186	3.583640302	3.962169844	5.605891204	4.334258205	3.512945607	5.787719919	5.09380068	3.456042103	2.389908885	4.442156455	6.325363107
KCNK1	1.697943598	3.048526156	1.526063714	5.938063664	5.579818851	4.698865118	3.274509873	2.8359474	3.223083039	3.266485894	3.108940366	4.751014177	5.246918383	5.868647001	2.610178049	3.761555918	5.633085402	3.010154589	1.780055192	4.892767411	4.778682072	2.942733747
EPB41L2	8.348345446	8.51569313	9.973118048	9.571759209	9.714521413	9.753619338	9.033133877	10.75415557	9.445968798	7.55215223	11.15076858	10.63319592	10.26099897	8.639746172	9.66989078	9.884281557	9.398378295	8.854023958	10.92834551	10.27448603	9.990604163	10.38994277
EFNB2	9.620865899	12.27917202	12.93809808	12.22046571	11.13602961	12.32429835	12.12161297	12.68707508	9.982785099	11.53448433	13.01994097	12.06137061	9.068676992	11.36130876	11.43322203	11.12533203	10.58933545	12.39029054	8.469421567	14.2039442	13.41286693	7.669629465
SOX9	6.255677101	10.19201276	11.63506054	11.42011758	13.40926156	11.02105128	10.48593825	12.79540578	12.11785778	6.689165975	13.81283391	13.10750195	11.38776828	6.560784719	9.480679862	11.24885688	10.61879933	11.50652016	12.40790246	11.58687595	11.54198572	12.2335011
SQOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD55	13.03124297	15.13363575	11.32538453	12.42767856	10.69780303	11.52585273	13.21295888	10.7014777	10.48799147	14.24690624	13.7338109	12.96559167	10.204109	15.7426678	14.93117017	13.93156891	9.931388322	15.08867967	10.50244865	12.11986397	13.18791862	8.524923464
ST14	8.438980402	11.90249605	12.05478564	10.15665898	10.74216248	12.06805052	11.86287907	11.55413463	9.403044336	8.348392295	12.89674425	12.28395946	9.550146014	9.40813743	7.879446756	11.07713836	6.281844782	8.149169302	4.666852104	10.74510886	10.9425911	7.182755939
FABP5	9.618834623	11.25125165	10.61344961	11.98157751	12.5657798	11.47982251	10.62998278	11.34441242	12.63570694	12.555549	12.6911209	13.4167438	11.63997824	13.90533293	13.40015396	11.98735018	13.92093023	8.467529801	12.2303892	11.55275426	10.30089444	9.408307192
GALNT14	6.568929244	6.967159021	8.854334025	9.767389888	10.02934855	11.02994729	10.55805906	9.758389309	8.029878956	7.50605657	11.10410269	11.0230249	8.848493816	10.22833299	11.19968436	10.5892666	9.72023111	9.046503693	6.818561282	4.167113103	3.890712361	4.947827332
RNF128	12.30969465	13.15038116	10.03035076	5.959108455	9.282329835	11.50325183	9.846919835	10.13177729	7.148671172	10.42813182	10.30716894	11.41540487	1.413537336	10.83087286	10.82478241	11.23959939	5.618672377	5.651631908	10.8024528	13.31620295	13.54773306	6.923213802
FGF2	6.915551604	3.576164689	4.946944897	2.468266941	10.90021246	4.020249869	9.000814234	8.98688194	7.157369511	7.866040569	8.367587078	7.317116593	3.657238097	8.749606605	9.010561037	8.130641428	10.25288782	9.476831944	9.358649503	8.898379902	9.065804366	8.470122909
NMU	6.77527254	10.57865626	11.65126388	11.47698996	10.71354801	11.81504301	9.848949906	11.72020561	10.52027029	9.643243503	9.512571341	10.34217093	10.67567999	11.48059496	11.05284285	10.40603181	4.669892891	10.37060295	5.117334059	12.37157915	12.21453414	8.31997779
